,Team1,Team2,MatchTime,Ha1,Ha2,T1w,T2w,T1b,Groundcapacity,AvgSR,CRating,Elevel
0,West Indies,England,daynight,1,0,0,1,1,12400,125.3082353,487,H
1,West Indies,England,daynight,1,0,1,0,0,8000,115.3088889,487,A
2,West Indies,England,daynight,1,0,1,0,1,8000,109.9153333,487,H
3,England,Pakistan,day,1,0,0,1,0,5500,124.6469231,547,L
4,New Zealand,England,day,1,0,0,1,1,18000,146.2533333,515,A
5,New Zealand,England,day,1,0,0,1,1,33500,138.7875,515,H
6,New Zealand,England,day,1,0,1,0,1,6000,145.1994118,515,H
7,New Zealand,England,night,1,0,1,0,0,10500,141.3675,515,H
8,New Zealand,England,day,1,0,0,1,1,41000,152.3853333,515,H
9,India,Australia,night,1,0,0,1,1,25000,123.9527778,521,L
10,India,Australia,night,1,0,0,1,1,40000,129.0390909,521,H
11,Australia,Sri Lanka,day,1,0,0,1,1,50000,115.9666667,488,H
12,Australia,Sri Lanka,night,1,0,0,1,0,37000,121.7271429,488,L
13,Australia,Sri Lanka,night,1,0,1,0,0,90000,121.0761538,488,L
14,Australia,Pakistan,day,1,0,1,0,0,44002,126.2111111,547,A
15,Australia,Pakistan,night,1,0,0,1,0,12000,125.8815385,547,L
16,Australia,Pakistan,daynight,1,0,1,0,0,20000,112.5541667,547,L
17,South Africa,Pakistan,night,1,0,0,1,1,25000,127.0915789,548,A
18,South Africa,Pakistan,day,1,0,0,1,1,28000,123.3471429,548,H
19,South Africa,Pakistan,night,1,0,1,0,0,20000,100.4281818,548,A
20,South Africa,Sri Lanka,night,1,0,1,0,0,25000,115.9594737,489,L
21,South Africa,Sri Lanka,night,1,0,0,1,1,20000,122.37125,489,H
22,South Africa,Sri Lanka,day,1,0,0,1,1,28000,115.856,489,H
23,India,South Africa,night,1,0,1,0,0,20000,137.2258333,522,L
24,India,South Africa,night,1,0,1,0,1,40000,122.9392857,522,A
28,India,West Indies,day,0,1,1,0,0,20000,108.9247368,486,L
29,India,West Indies,day,0,1,1,0,1,20000,120.6253846,486,L
30,West Indies,India,day,1,0,0,1,1,15000,116.3407692,486,A
31,Afghanistan,West Indies,night,1,0,1,0,0,50000,117.9072222,467,L
32,Afghanistan,West Indies,night,1,0,1,0,1,50000,118.0005263,467,L
33,Afghanistan,West Indies,night,1,0,1,0,1,50000,112.2915789,467,L
34,India,West Indies,night,1,0,1,0,0,20000,131.7169231,486,H
35,India,West Indies,night,1,0,0,1,1,55000,135.5423077,486,H
36,India,West Indies,night,1,0,0,1,1,32000,123.8206667,486,H
37,New Zealand,Sri Lanka,night,1,0,0,1,1,41000,126.4395,481,A
38,New Zealand,India,night,1,0,0,1,1,33500,124.9015789,514,H
39,New Zealand,India,night,1,0,1,0,1,41000,141.8342857,514,L
40,New Zealand,India,night,1,0,0,1,1,10000,134.9107143,514,H
41,Sri Lanka,New Zealand,night,1,0,1,0,1,35000,132.68,481,L
42,Sri Lanka,New Zealand,night,1,0,1,0,1,35000,129.5772222,481,L
43,Sri Lanka,New Zealand,night,1,0,1,0,1,35000,115.9733333,481,L
59,India,Bangladesh,night,1,0,0,1,1,20000,136.9792308,480,A
60,India,Bangladesh,night,1,0,1,0,0,28000,126.6358333,480,A
61,India,Bangladesh,night,1,0,0,1,1,45000,123.2411111,480,A
69,Pakistan,Sri Lanka,night,1,0,1,0,0,20000,107.6772222,513,L
70,Pakistan,Sri Lanka,night,1,0,0,1,0,20000,102.71,513,H
71,Pakistan,Sri Lanka,night,1,0,0,1,0,20000,118.528125,513,L
88,Australia,England,night,1,0,1,0,0,15000,141.6127778,241,A
89,Australia,England,night,1,0,1,0,0,90000,140.8669231,241,A
90,New Zealand,England,night,1,0,0,1,1,33500,132.6505556,231,H
91,New Zealand,England,night,1,0,1,0,0,10000,152.1286667,231,H
92,England,Australia,daynight,1,0,0,1,1,24803,124.2133333,241,H
93,England,India,daynight,1,0,0,1,1,19000,146.3428571,238,H
94,England,India,daynight,1,0,1,0,0,5500,149.9371429,238,L
95,England,India,day,1,0,0,1,1,7000,144.782,238,H
96,Sri Lanka,England,night,1,0,1,0,0,35000,124.5285714,200,H
97,Australia,New Zealand,night,0,0,1,0,0,44002,132.322,242,L
100,New Zealand,Australia,night,0,0,1,0,1,41000,138.34,242,H
101,New Zealand,Australia,night,0,0,1,0,1,41000,134.961875,242,L
103,Australia,Pakistan,day,1,0,1,0,0,10000,130.8857143,256,A
104,Australia,Pakistan,day,1,0,1,0,0,10000,122.045,256,A
105,Australia,Pakistan,day,1,0,1,0,1,10000,139.656875,256,H
106,Australia,Pakistan,night,0,0,1,0,0,20000,127.572381,256,L
107,Australia,Pakistan,night,0,0,0,1,0,25000,132.1844444,256,L
108,Australia,Pakistan,night,0,0,0,1,0,25000,124.4733333,256,L
109,Australia,South Africa,night,1,0,1,0,0,15500,131.43,240,A
110,Australia,India,daynight,1,0,0,1,1,37000,160.488,249,A
111,Australia,India,night,1,0,0,1,1,90000,130.9877778,249,A
112,Australia,India,night,1,0,1,0,1,44002,135.3178571,249,A
113,South Africa,India,day,1,0,1,0,0,28000,120.8211111,237,H
114,South Africa,India,night,1,0,1,0,0,20000,136.3366667,237,H
115,South Africa,India,night,1,0,1,0,0,25000,147.223125,237,L
116,Sri Lanka,South Africa,night,1,0,0,1,0,35000,95.9345,199,H
118,New Zealand,West Indies,night,1,0,0,1,1,20000,127.7916667,230,H
119,New Zealand,West Indies,night,1,0,1,0,1,20000,125.27,230,H
120,Pakistan,West Indies,day,1,0,0,1,1,20000,113.2055556,244,H
121,Pakistan,West Indies,day,1,0,1,0,1,20000,112.383125,244,H
122,Pakistan,West Indies,day,1,0,0,1,0,20000,116.2191667,244,H
123,West Indies,Bangladesh,night,1,0,1,0,0,8000,120.8425,189,H
124,Bangladesh,West Indies,night,0,1,0,1,1,20000,120.7355556,189,H
125,Bangladesh,West Indies,night,0,1,1,0,1,20000,122.3746667,189,A
126,India,West Indies,night,1,0,1,0,0,66000,126.2523529,237,L
127,India,West Indies,night,1,0,0,1,1,50000,122.8386667,237,A
128,India,West Indies,night,1,0,0,1,0,38000,137.9063636,237,H
129,Bangladesh,West Indies,day,1,0,1,0,1,13533,128.472,189,H
130,Bangladesh,West Indies,daynight,1,0,0,1,1,25000,126.1417647,189,H
131,Bangladesh,West Indies,daynight,1,0,1,0,0,25000,116.3754545,189,H
134,New Zealand,Pakistan,daynight,1,0,1,0,0,33500,123.268125,246,L
135,New Zealand,Pakistan,night,1,0,0,1,0,41000,126.3264706,246,H
136,New Zealand,Pakistan,night,1,0,0,1,0,20000,134.8475,246,A
142,New Zealand,Pakistan,night,0,0,0,1,0,20000,134.20125,246,L
143,New Zealand,Pakistan,night,0,0,1,0,1,25000,135.3986667,246,L
144,New Zealand,Pakistan,night,0,0,0,1,0,25000,121.485625,246,L
148,Sri Lanka,India,night,0,0,1,0,0,35000,141.5184615,208,A
149,Bangladesh,India,night,0,0,0,1,1,35000,118.95875,198,L
150,Sri Lanka,India,night,0,0,0,1,1,35000,122.6441176,208,L
151,Bangladesh,India,night,0,0,1,0,0,35000,134.6741667,198,H
152,Bangladesh,India,night,0,0,0,1,1,35000,120.3944444,198,A
177,Bangladesh,Sri Lanka,night,1,0,1,0,1,25000,119.0223077,160,H
178,Bangladesh,Sri Lanka,night,1,0,1,0,0,13533,118.6388235,160,H
180,Sri Lanka,Bangladesh,night,0,0,0,1,1,35000,130.9093333,160,H
182,Sri Lanka,Bangladesh,night,0,0,0,1,1,35000,117.42,160,L
185,India,England,daynight,1,0,0,1,1,45000,123.145,239,L
186,India,England,night,1,0,0,1,1,45000,116.7841176,239,L
187,India,England,night,1,0,0,1,1,40000,109.8338889,239,H
188,England,South Africa,night,1,0,0,1,0,6500,138.775,232,L
189,England,South Africa,daynight,1,0,1,0,0,6500,144.8255556,232,H
190,England,South Africa,day,1,0,0,1,1,5500,119.8484211,232,H
191,England,West Indies,daynight,1,0,1,0,0,5000,109.5436364,230,A
192,Australia,Sri Lanka,night,1,0,0,1,1,90000,129.972,205,L
193,Australia,Sri Lanka,night,1,0,0,1,1,20000,112.7457143,205,A
194,Australia,Sri Lanka,night,1,0,0,1,1,50000,123.3126316,205,A
195,India,Australia,night,1,0,1,0,0,20000,110.1307692,228,A
196,India,Australia,night,1,0,0,1,1,40000,119.7246667,228,L
197,South Africa,Sri Lanka,night,1,0,0,1,1,20000,121.7566667,206,H
198,South Africa,Sri Lanka,day,1,0,1,0,1,28000,110.012,206,L
199,South Africa,Sri Lanka,night,1,0,1,0,1,25000,125.6078571,206,L
200,New Zealand,South Africa,night,1,0,1,0,0,41000,132.7057895,236,H
204,South Africa,Bangladesh,night,1,0,1,0,1,20000,122.0611765,189,L
205,South Africa,Bangladesh,day,1,0,0,1,1,20000,129.9352941,189,H
206,West Indies,Pakistan,day,1,0,0,1,1,28000,111.0073333,230,L
207,West Indies,Pakistan,day,1,0,1,0,0,25000,118.48,230,L
208,West Indies,Pakistan,day,1,0,0,1,0,25000,126.1066667,230,A
209,West Indies,Pakistan,day,1,0,0,1,1,25000,106.704,230,A
210,West Indies,Afghanistan,night,1,0,0,1,0,8000,114.3835294,199,H
211,West Indies,Afghanistan,night,1,0,1,0,1,8000,129.374375,199,A
212,West Indies,Afghanistan,night,1,0,0,1,0,8000,116.6030769,199,A
213,West Indies,India,day,1,0,1,0,0,20000,139.4181818,227,H
215,New Zealand,West Indies,day,1,0,0,1,1,6000,120.5545,234,A
216,New Zealand,Bangladesh,night,1,0,0,1,0,10500,124.336875,203,L
217,New Zealand,Bangladesh,day,1,0,0,1,1,20000,114.3145,203,A
218,New Zealand,Bangladesh,day,1,0,0,1,1,20000,128.9835714,203,A
220,India,New Zealand,night,1,0,0,1,1,20000,141.1466667,243,H
221,India,New Zealand,night,1,0,0,1,0,28000,123.2723077,243,H
222,India,New Zealand,night,1,0,0,1,1,55000,132.426,243,L
228,Sri Lanka,India,night,1,0,0,1,1,35000,136.2314286,213,L
234,India,Sri Lanka,night,1,0,0,1,1,20000,119.868125,213,L
235,India,Sri Lanka,night,1,0,0,1,1,20000,122.1944444,213,H
236,India,Sri Lanka,night,1,0,1,0,0,32000,133.640625,213,L
241,Pakistan,Sri Lanka,night,0,1,1,0,0,20000,119.014375,216,L
242,Pakistan,Sri Lanka,night,0,1,1,0,0,20000,124.3433333,216,L
243,Pakistan,Sri Lanka,night,1,0,0,1,1,20000,125.475,216,L
250,Sri Lanka,Bangladesh,night,1,0,0,1,0,35000,130.7621429,173,L
251,Sri Lanka,Bangladesh,night,1,0,0,1,0,35000,122.6733333,173,L
259,South Africa,England,night,1,0,1,0,0,25000,128.0010526,233,L
260,South Africa,England,day,1,0,1,0,0,28000,118.5192857,233,H
261,England,West Indies,night,0,0,0,1,1,32000,127.0792308,236,H
262,England,South Africa,night,0,0,1,0,0,32000,131.696875,233,H
263,Afghanistan,England,daynight,0,0,0,1,0,20000,123.8495,192,A
264,England,Sri Lanka,night,0,1,0,1,1,20000,113.00375,212,H
265,England,New Zealand,night,0,0,1,0,0,20000,138.0378571,246,H
266,England,West Indies,night,0,0,0,1,1,66000,122.9415789,236,A
267,England,Sri Lanka,night,1,0,0,1,0,6500,100.06,212,L
268,England,Pakistan,night,1,0,1,0,1,19000,126.3041667,218,A
269,Australia,India,night,1,0,1,0,0,50000,119.2075,242,L
270,Australia,India,night,1,0,1,0,0,90000,121.9942857,242,L
271,Australia,India,night,1,0,1,0,1,44002,128.0991667,242,L
272,South Africa,Australia,night,1,0,0,1,0,25000,134.7015,229,A
273,South Africa,Australia,day,1,0,0,1,1,28000,134.72125,229,H
274,South Africa,Australia,night,1,0,1,0,1,25000,140.1816667,229,A
275,Australia,New Zealand,daynight,0,0,0,1,0,20000,132.884,242,L
276,Australia,Bangladesh,night,0,0,1,0,0,40000,128.47125,184,H
277,Australia,Pakistan,daynight,0,0,1,0,1,20000,129.589375,214,H
278,India,Australia,daynight,0,0,0,1,0,20000,142.0278571,242,A
279,Sri Lanka,Australia,night,1,0,1,0,0,35000,112.1886667,208,H
280,Sri Lanka,Australia,night,1,0,1,0,1,35000,115.2752632,208,L
287,Afghanistan,South Africa,daynight,0,0,0,1,0,32000,137.4316667,197,H
288,South Africa,West Indies,night,0,0,0,1,1,45000,125.6438889,241,L
289,South Africa,Sri Lanka,night,0,1,1,0,0,20000,108.3786667,217,L
291,Sri Lanka,West Indies,night,1,0,0,1,1,40000,102.495625,220,A
293,Afghanistan,West Indies,night,0,0,0,1,1,45000,121.9578947,200,L
294,India,West Indies,night,0,0,0,1,1,32000,137.4322222,254,H
296,India,West Indies,day,0,1,1,0,0,20000,134.0146154,254,H
297,India,West Indies,day,0,1,1,0,0,20000,122.1015385,254,H
298,Pakistan,West Indies,night,0,0,1,0,0,25000,120.5135714,226,A
299,Pakistan,West Indies,night,0,0,0,1,1,25000,125.74875,226,L
300,Pakistan,West Indies,night,0,0,1,0,0,20000,105.9872727,226,L
301,New Zealand,Sri Lanka,day,1,0,0,1,1,20000,116.5794118,230,A
302,New Zealand,Sri Lanka,day,1,0,1,0,0,41000,104.9461538,230,H
303,New Zealand,Pakistan,daynight,1,0,1,0,0,41000,114.4538095,236,H
304,New Zealand,Pakistan,daynight,1,0,0,1,0,10000,124.0536364,236,H
305,New Zealand,Pakistan,daynight,1,0,0,1,1,33500,120.1436842,236,A
306,India,New Zealand,night,0,0,0,1,0,45000,108.17,264,L
308,New Zealand,Pakistan,night,0,0,1,0,1,20000,132.9921429,236,L
309,Bangladesh,New Zealand,daynight,0,0,0,1,0,66000,114.8366667,206,L
314,India,Sri Lanka,night,1,0,0,1,1,20000,101.3161111,230,L
315,India,Sri Lanka,night,1,0,0,1,1,20000,105.6778947,230,L
316,India,Sri Lanka,night,1,0,1,0,0,25000,92.48785714,230,L
317,Bangladesh,India,night,0,0,1,0,0,25000,116.9105882,206,L
318,India,Pakistan,night,0,0,1,0,0,25000,109.9083333,236,L
319,India,Sri Lanka,night,1,0,1,0,0,25000,117.5147059,230,A
320,Bangladesh,India,night,0,0,0,1,1,25000,126.8527273,206,A
322,India,Pakistan,night,0,0,1,0,0,66000,129.8884615,236,L
323,India,Bangladesh,night,0,0,0,1,1,40000,123.5973684,206,L
332,Bangladesh,Pakistan,night,0,0,0,1,0,25000,122.74,178,L
333,Pakistan,Sri Lanka,night,0,1,1,0,0,25000,115.0816667,202,A
334,Bangladesh,Pakistan,daynight,0,0,0,1,0,66000,127.6046667,178,H
347,Bangladesh,Sri Lanka,night,1,0,1,0,1,25000,112.6233333,172,L
350,Afghanistan,Sri Lanka,night,0,1,1,0,1,66000,129.878,176,H
357,England,New Zealand,daynight,1,0,1,0,1,19000,123.526,210,A
358,England,Australia,day,1,0,0,1,1,5500,120.8264706,222,H
359,England,Pakistan,night,0,0,1,0,1,25000,121.8958824,213,L
360,England,Pakistan,night,0,0,1,0,1,25000,130.8625,213,A
361,England,Pakistan,night,0,0,1,0,1,16000,132.7205263,213,A
363,South Africa,West Indies,night,1,0,1,0,1,25000,140.2242857,227,H
364,South Africa,West Indies,day,1,0,0,1,1,28000,140.035,227,H
365,South Africa,West Indies,night,1,0,0,1,1,25000,117.15125,227,A
366,Bangladesh,South Africa,day,1,0,0,1,0,25000,114.1711765,187,L
367,Bangladesh,South Africa,day,1,0,0,1,0,25000,116.8447059,187,L
368,South Africa,New Zealand,night,1,0,1,0,0,25000,144.899375,220,A
369,South Africa,New Zealand,day,1,0,0,1,0,20000,123.1721053,220,A
370,India,South Africa,night,1,0,0,1,1,20000,113.4816667,234,H
371,India,South Africa,night,1,0,0,1,1,20000,113.0382353,234,L
375,Sri Lanka,West Indies,night,1,0,0,1,1,35000,128.755625,252,H
376,Sri Lanka,West Indies,night,1,0,0,1,0,35000,127.8047368,252,L
382,Bangladesh,Pakistan,night,1,0,0,1,0,25000,126.6936364,190,A
383,Sri Lanka,Pakistan,night,1,0,0,1,0,35000,122.696875,248,L
384,Sri Lanka,Pakistan,night,1,0,1,0,1,35000,131.2836842,248,A
392,Australia,England,night,1,0,1,0,1,15000,130.7194118,211,H
393,Australia,England,night,1,0,0,1,0,90000,129.3607143,211,A
394,Australia,England,night,1,0,1,0,1,78000,133.2042105,211,H
395,West Indies,England,day,1,0,1,0,1,28000,114.846875,215,H
396,West Indies,England,day,1,0,0,1,0,28000,125.3113333,215,A
397,West Indies,England,day,1,0,0,1,0,28000,123.9552941,215,H
398,England,New Zealand,night,0,0,0,1,1,22000,128.1981818,208,H
399,England,Sri Lanka,night,0,0,1,0,0,22000,128.0258333,234,H
400,England,South Africa,night,0,0,1,0,0,22000,129.1033333,219,H
401,England,Sri Lanka,daynight,1,0,1,0,0,23500,123.6188235,234,H
402,England,India,day,1,0,1,0,1,24803,115.1033333,231,H
406,South Africa,Australia,night,1,0,0,1,1,25000,138.032,228,H
407,South Africa,Australia,night,1,0,0,1,1,20000,130.1853333,228,L
408,Australia,Pakistan,daynight,0,0,1,0,0,25000,114.9711111,230,H
409,Australia,West Indies,daynight,0,0,1,0,1,25000,123.8275,224,H
410,Australia,India,night,0,0,1,0,0,25000,114.0255,240,L
411,Bangladesh,Australia,daynight,0,0,1,0,1,25000,129.8663636,181,H
412,Australia,Pakistan,night,0,0,0,1,0,25000,96.82588235,230,L
413,Australia,South Africa,night,1,0,1,0,1,50000,110.5723077,228,L
414,Australia,South Africa,night,1,0,0,1,0,90000,109.165,228,L
415,Australia,South Africa,night,1,0,1,0,0,78000,99.57277778,228,L
418,South Africa,Sri Lanka,daynight,0,0,0,1,0,22000,122.7115789,251,L
419,New Zealand,South Africa,daynight,0,0,1,0,0,22000,118.1629412,225,L
421,India,South Africa,night,0,0,0,1,0,25000,126.1758333,248,A
425,New Zealand,West Indies,night,1,0,1,0,1,41000,113.3605882,221,L
